1          ,19A                    ,19B                    ,20A                    ,20B                    ,20C                    ,20J                   ,21J                    ,21K                    ,21L                   ,22A                    ,22B(BA.5.2.48)         ,22B(BF.7)              ,22B(Other)            ,22C                    ,22D                   ,22E                   ,22F                  ,23A                    ,23B                    ,23C                    ,23D                   ,23E                    ,23F                    ,23G                    ,23H                    ,23I                    ,recombinant
2022-10-02 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.008489189547685369  ,0.06857673431489587    ,0.0                    ,0.0                    ,0.8054118583366494    ,0.0                    ,0.036211699164345405  ,0.06618914975460936   ,0.01087677410797188  ,0.0                    ,0.0                    ,0.00026528717336516777 ,0.0                   ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.003979307600477517
2022-10-09 ,2.388744237154528e-05  ,2.388744237154528e-05  ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.008575591811384755  ,0.05398561975969233    ,0.0                    ,0.0                    ,0.7938035974488211    ,7.166232711463584e-05  ,0.033991830494708934  ,0.0908439433389867    ,0.014308577980555622 ,0.0                    ,0.0                    ,0.0005016362898024509  ,0.0                   ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.003869765664190335
2022-10-16 ,2.3572674555655085e-05 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,9.429069822262034e-05  ,0.009947668662486446  ,0.05119984913488285    ,0.0                    ,0.0                    ,0.7406770072132384    ,0.0                    ,0.03903634906416482   ,0.13688652114468908   ,0.017278770449295176 ,0.0                    ,0.0                    ,0.0004950261656687568  ,7.071802366696525e-05 ,0.0                    ,2.3572674555655085e-05 ,0.0                    ,0.0                    ,0.0                    ,0.00426665409457357
2022-10-23 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0                    ,0.0102673631661563    ,0.04202156403592291    ,2.573273976480276e-05  ,0.0                    ,0.6858804456910528    ,0.0                    ,0.04459483801240318   ,0.18980468850518514   ,0.02256761277373202  ,2.573273976480276e-05  ,0.0                    ,0.001080775070121716   ,7.719821929440828e-05 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0036540490466019917
2022-10-30 ,2.52187728545129e-05   ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.00012609386427256449 ,0.009684008776132954  ,0.03568456358913575    ,2.52187728545129e-05   ,0.0                    ,0.621743625955161     ,2.52187728545129e-05   ,0.05227851612740524   ,0.248304037525534     ,0.024840491261695206 ,0.0001513126371270774  ,0.0                    ,0.002774065013996419   ,0.0003530628199631806 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.003984566111013038
2022-11-06 ,0.0                    ,0.0                    ,0.0                    ,0.00023737933217281214 ,0.0                    ,0.0                   ,0.0                    ,0.00010550192541013873 ,0.011051326686712033  ,0.030832937701113044   ,0.0                    ,0.0                    ,0.5352903940496914    ,7.912644405760406e-05  ,0.06419792161206941   ,0.3094371472279369    ,0.03750593448330432  ,0.00039563222028802023 ,0.0                    ,0.004088199609642876   ,0.0004483831829930896 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.006330115524608324
2022-11-13 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,2.34587595007976e-05   ,0.0                   ,0.0                    ,2.34587595007976e-05   ,0.010016890306840574  ,0.02118325982922023    ,0.0                    ,0.0                    ,0.46598479872384346   ,0.0                    ,0.06957868067936568   ,0.3713756216571268    ,0.04600262738106409  ,0.0005160927090175472  ,0.0                    ,0.005700478558693816   ,0.0011494792155390824 ,2.34587595007976e-05   ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.008421694660786338
2022-11-20 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,2.3291563795593237e-05 ,0.0                   ,0.0                    ,0.00011645781897796619 ,0.00971258210276238   ,0.01453393580845018    ,0.0                    ,0.0                    ,0.4018027670377789    ,0.0                    ,0.07499883542181023   ,0.4314995108771603    ,0.04655983602739088  ,0.0019099082312386453  ,4.6583127591186475e-05 ,0.008524712349187124   ,0.0012577444449620348 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.009013835188894582
2022-11-27 ,2.167927677932664e-05  ,0.0                    ,2.167927677932664e-05  ,0.0                    ,0.0                    ,0.0                   ,4.335855355865328e-05  ,0.00013007566067595985 ,0.008801786372406617  ,0.011208186094911874   ,0.0                    ,0.0                    ,0.3460012573980532    ,0.0                    ,0.0729941249159928    ,0.4808680382422442    ,0.04960218527109936  ,0.0038372319899408155  ,0.0                    ,0.013050924621154638   ,0.0013441151603182518 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.01207535716608494
2022-12-04 ,1.8578037044605868e-05 ,1.8578037044605868e-05 ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,5.57341111338176e-05   ,0.006836717632414959  ,0.007877087706912887   ,3.7156074089211736e-05 ,0.0                    ,0.2894086610808702    ,3.7156074089211736e-05 ,0.07191558139966932   ,0.526185743214372     ,0.05865086294982072  ,0.009474798892748992   ,0.0                    ,0.017147528192171215   ,0.001653445296969922  ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.010682371300648374
2022-12-11 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,7.427075403383033e-05  ,0.0064986909779601535 ,0.0056260096180626475  ,1.8567688508457584e-05 ,1.8567688508457584e-05 ,0.2544516033199027    ,1.8567688508457584e-05 ,0.07449356629593182   ,0.5448316839036709    ,0.06248027183095976  ,0.015652561412629742   ,0.0                    ,0.022541173849267505   ,0.00115119668752437   ,1.8567688508457584e-05 ,1.8567688508457584e-05 ,0.0                    ,0.0                    ,0.0                    ,0.012106132907514344
2022-12-18 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,3.656240288111735e-05  ,5.484360432167602e-05  ,0.006087640079706039  ,0.004168113928447377   ,0.0005484360432167602  ,0.0003473428273706148  ,0.2295387652876547    ,0.0                    ,0.06849966179777335   ,0.560666166980494     ,0.05330798340066909  ,0.0267636789089779     ,0.0                    ,0.03279647538436226    ,0.0014259337123635764 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.015758395641761576
2022-12-25 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.0002731838527328892  ,0.00594700233256982   ,0.0029209658099901233  ,0.002458654674596003   ,0.0010507071258957278  ,0.21491163553071216   ,0.0                    ,0.06802277933048942   ,0.5583877949860256    ,0.04625212768192994  ,0.038266753525122404   ,0.0                    ,0.04240653960115157    ,0.001702145543951079  ,0.00010507071258957278 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.01729463929224368
2023-01-01 ,4.6387568131740696e-05 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,9.277513626348139e-05  ,0.0047779195175692915 ,0.0026440913835092195  ,0.0041052997796590515  ,0.002806447871970312   ,0.17759480459236923   ,0.0                    ,0.06744752406355096   ,0.5587150643627508    ,0.0401252464339557   ,0.06408442537399976    ,4.6387568131740696e-05 ,0.05543314391743013    ,0.001878696509335498  ,0.00023193784065870347 ,6.958135219761104e-05  ,0.0                    ,2.3193784065870348e-05 ,0.0                    ,0.019877072944450888
2023-01-08 ,7.213619313263441e-05  ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,2.4045397710878137e-05 ,0.004712897951332115  ,0.001899586419159373   ,0.004809079542175627   ,0.0028854477253053767  ,0.16812542079445994   ,2.4045397710878137e-05 ,0.06547561796672118   ,0.5152688275464076    ,0.037823410599211314 ,0.10606424930268346    ,4.8090795421756275e-05 ,0.06727902279503703    ,0.0030297201115706456 ,0.00045686255650668464 ,2.4045397710878137e-05 ,0.0                    ,0.0                    ,0.00028854477253053765 ,0.021688948735212082
2023-01-15 ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,0.00018236527765113522 ,0.004164007173034254  ,0.0012461627306160907  ,0.0020364122671043434  ,0.0015501048600346495  ,0.15467614966110452   ,0.0                    ,0.06255129023433938   ,0.4732986839305796    ,0.04048509163855202  ,0.16768487280021885    ,3.039421294185587e-05  ,0.06042369532840947    ,0.005410169903650345  ,0.0003039421294185587  ,3.039421294185587e-05  ,0.0                    ,0.0                    ,3.039421294185587e-05  ,0.0258958694264612
2023-01-22 ,0.0                    ,0.0                    ,3.5693889206167905e-05 ,0.0                    ,0.0                    ,0.0                   ,0.0                    ,3.5693889206167905e-05 ,0.0035336950314106227 ,0.0009280411193603656  ,0.0012492861222158766  ,0.0012135922330097086  ,0.1275342661336379    ,0.0                    ,0.053255282695602514  ,0.42522130211307824   ,0.0355868075385494   ,0.2503212450028555     ,0.0                    ,0.06232153055396916    ,0.009173329525985152  ,0.0004997144488863507  ,0.0                    ,3.5693889206167905e-05 ,0.0                    ,3.5693889206167905e-05 ,0.029019131924614507
