1,21L,22A,22B(BA.5.2.48),22B(BF.7),22B(Other),22C,22D,22E,22F,23A,23B,23C,23D,23E,23F,23G,23H,recombinant
2022-10-02,0.0,0.0,0.05555555555555555,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-09,0.0,0.0,0.14942528735632185,0.0,0.7241379310344828,0.0,0.011494252873563218,0.10344827586206896,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-16,0.012987012987012988,0.0,0.11688311688311688,0.025974025974025976,0.6233766233766234,0.0,0.03896103896103896,0.15584415584415584,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-23,0.0,0.0,0.34615384615384615,0.038461538461538464,0.48717948717948717,0.0,0.038461538461538464,0.038461538461538464,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-30,0.008064516129032258,0.0,0.33064516129032256,0.20161290322580644,0.3709677419354839,0.0,0.008064516129032258,0.056451612903225805,0.024193548387096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-06,0.008547008547008548,0.008547008547008548,0.09401709401709402,0.7521367521367521,0.042735042735042736,0.0,0.017094017094017096,0.06837606837606838,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-13,0.0,0.0,0.152317880794702,0.6688741721854304,0.1456953642384106,0.0,0.006622516556291391,0.006622516556291391,0.013245033112582781,0.0,0.0,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-20,0.017937219730941704,0.004484304932735426,0.23318385650224216,0.4349775784753363,0.2556053811659193,0.017937219730941704,0.0,0.03139013452914798,0.004484304932735426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-27,0.0,0.0,0.4954128440366973,0.30275229357798167,0.09785932721712538,0.0,0.01529051987767584,0.07033639143730887,0.01834862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-04,0.0012755102040816326,0.0,0.610969387755102,0.23341836734693877,0.08290816326530612,0.0012755102040816326,0.02295918367346939,0.04081632653061224,0.003826530612244898,0.0,0.0,0.0012755102040816326,0.0,0.0,0.0,0.0,0.0,0.0012755102040816326
2022-12-11,0.0,0.0,0.4094488188976378,0.3674540682414698,0.09448818897637795,0.0,0.03412073490813648,0.06036745406824147,0.028871391076115485,0.0026246719160104987,0.0,0.0026246719160104987,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-18,0.0,0.0,0.640728476821192,0.21688741721854304,0.06622516556291391,0.0,0.019867549668874173,0.04304635761589404,0.004966887417218543,0.0016556291390728477,0.0,0.004966887417218543,0.0,0.0,0.0,0.0,0.0,0.0016556291390728477
2022-12-25,0.0,0.0,0.6348408710217756,0.26549413735343386,0.09128978224455611,0.0,0.002512562814070352,0.0033500837520938024,0.0016750418760469012,0.0,0.0,0.0008375209380234506,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.6382228490832158,0.25952045133991536,0.08956276445698166,0.0,0.00846262341325811,0.004231311706629055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,0.0,0.0,0.6627582356225572,0.2601898380792853,0.07035175879396985,0.0,0.002233389168062535,0.0027917364600781687,0.0011166945840312675,0.0,0.0,0.0005583472920156337,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-15,0.0,0.0,0.6752072343632253,0.2712886209495102,0.05275056518462698,0.0,0.0,0.0007535795026375283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-22,0.0,0.0,0.6573426573426573,0.2738927738927739,0.06876456876456877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-29,0.0,0.0,0.6155115511551155,0.31683168316831684,0.06765676567656766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-05,0.0,0.0,0.6343402225755167,0.2957074721780604,0.06518282988871224,0.0,0.001589825119236884,0.001589825119236884,0.0,0.001589825119236884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-12,0.0,0.0,0.6228209191759112,0.3201267828843106,0.05229793977812995,0.0,0.001584786053882726,0.0,0.003169572107765452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-19,0.0,0.0,0.6366459627329193,0.327639751552795,0.021739130434782608,0.0,0.0015527950310559005,0.0,0.0,0.006211180124223602,0.0,0.0015527950310559005,0.003105590062111801,0.0,0.0,0.0,0.0,0.0015527950310559005
2023-02-26,0.0,0.0,0.6512549537648613,0.2800528401585205,0.05019815059445178,0.0,0.002642007926023778,0.0,0.002642007926023778,0.011889035667107,0.0,0.0,0.001321003963011889,0.0,0.0,0.0,0.0,0.0
2023-03-05,0.0,0.0,0.6010230179028133,0.3375959079283887,0.034526854219948847,0.0,0.0,0.0012787723785166241,0.0025575447570332483,0.01278772378516624,0.0,0.0,0.010230179028132993,0.0,0.0,0.0,0.0,0.0
2023-03-12,0.0,0.0,0.5512630014858841,0.3803863298662704,0.03863298662704309,0.0,0.0029717682020802376,0.0014858841010401188,0.0014858841010401188,0.008915304606240713,0.0,0.0,0.01188707280832095,0.0014858841010401188,0.0,0.0,0.0,0.0014858841010401188
